smiles,FPK
BrCCCCBr,338.35
BrCCCCBr,338.35
C(Br)CCCBr,338.35
C(CCCBr)Br,338.35
BrCCCCCBr,367.85
C(Br)CCCCBr,367.85
C(CCCBr)CBr,367.85
C(CBr)CCCBr,367.85
BrCCCCCBr,367.85
C(CCBr)CCBr,367.85
C(CCCBr)CBr,367.85
C(Br)CCCCBr,367.85
C(CCBr)CCBr,367.85
C(CCCBr)CBr,367.85
BrCCCCCCBr,383.95
BrCCCCCCBr,383.95
C(CCCCBr)CBr,383.95
C(CCCBr)CCBr,383.95
C(CCCBr)CCBr,383.95
C(CCCCBr)CBr,383.95
C(CBr)CCCCBr,383.95
C(CBr)CCCCBr,383.95
BrCCCCCCBr,383.95
C(CCBr)CCCBr,383.95
BrCCCCCCCBr,405.95
C(CCCCBr)CCBr,405.95
C(CCCCCCBr)Br,405.95
C(CCCCCCBr)Br,405.95
C(CCCCBr)CCBr,405.95
BrCCCCCCCBr,405.95
BrCCCCCCCBr,405.95
C(CBr)CCCCCBr,405.95
C(CCCCCCBr)Br,405.95
C(CBr)CCCCCBr,405.95
BrCCCCCCCCBr,386.15
C(CCCCBr)CCCBr,386.15
C(CCCBr)CCCCBr,386.15
BrCCCCCCCCBr,386.15
BrCCCCCCCCBr,386.15
C(CCCCCBr)CCBr,386.15
C(CCCCCCBr)CBr,386.15
BrCCCCCCCCBr,386.15
BrCCCCCCCCBr,386.15
C(CCCCCCCBr)Br,386.15
BrCCCCCCCCCCBr,426.55
C(CCCCCBr)CCCCBr,426.55
C(CCCCCCBr)CCCBr,426.55
C(CCCCCCBr)CCCBr,426.55
C(CCCCCCBr)CCCBr,426.55
C(CCCCCCCCCBr)Br,426.55
C(Br)CCCCCCCCCBr,426.55
C(CCCCBr)CCCCCBr,426.55
BrCCCCCCCCCCBr,426.55
BrCCCCCCCCCCBr,426.55
BrCCCc1ccccc1,374.85
C(CCBr)c1ccccc1,374.85
C(Cc1ccccc1)CBr,374.85
C(Cc1ccccc1)CBr,374.85
c1(ccccc1)CCCBr,374.85
c1ccc(CCCBr)cc1,374.85
c1ccccc1CCCBr,374.85
c1ccc(cc1)CCCBr,374.85
c1cccc(c1)CCCBr,374.85
c1cccc(CCCBr)c1,374.85
BrCCc1ccccc1,362.55
c1(CCBr)ccccc1,362.55
c1ccc(cc1)CCBr,362.55
c1c(CCBr)cccc1,362.55
c1ccc(CCBr)cc1,362.55
BrCCc1ccccc1,362.55
c1ccccc1CCBr,362.55
c1(ccccc1)CCBr,362.55
c1(CCBr)ccccc1,362.55
C(Cc1ccccc1)Br,362.55
BrCI,306.95
ICBr,306.95
C(Br)I,306.95
C(I)Br,306.95
BrCI,306.95
BrCI,306.95
BrCI,306.95
C(Br)I,306.95
C(Br)I,306.95
C(Br)I,306.95
BrCc1c2ccccc2cc2ccccc12,482.15
c1cc2c(c(c3ccccc3c2)CBr)cc1,482.15
c1c2c(c(CBr)c3c(cccc3)c2)ccc1,482.15
c1c2cc3ccccc3c(c2ccc1)CBr,482.15
c12c(cccc2)cc2ccccc2c1CBr,482.15
c1ccc2c(c1)c(CBr)c1ccccc1c2,482.15
c1c2c(c(CBr)c3ccccc3c2)ccc1,482.15
C(Br)c1c2ccccc2cc2c1cccc2,482.15
c1(CBr)c2ccccc2cc2ccccc12,482.15
c1ccc2c(cc3c(c2CBr)cccc3)c1,482.15
BrCc1ccc(Br)cc1,395.35
Brc1ccc(cc1)CBr,395.35
c1c(Br)ccc(CBr)c1,395.35
c1cc(ccc1Br)CBr,395.35
c1(Br)ccc(cc1)CBr,395.35
c1(ccc(cc1)CBr)Br,395.35
BrCc1ccc(cc1)Br,395.35
c1cc(ccc1Br)CBr,395.35
C(c1ccc(cc1)Br)Br,395.35
c1cc(CBr)ccc1Br,395.35
BrCc1cccc(CBr)c1,411.25
c1ccc(cc1CBr)CBr,411.25
c1c(cc(CBr)cc1)CBr,411.25
C(Br)c1cc(ccc1)CBr,411.25
c1cc(CBr)cc(CBr)c1,411.25
C(c1cccc(CBr)c1)Br,411.25
c1c(cc(CBr)cc1)CBr,411.25
C(c1cc(CBr)ccc1)Br,411.25
c1c(CBr)cccc1CBr,411.25
c1ccc(cc1CBr)CBr,411.25
BrCc1ccccc1,354.9009814814815
c1ccccc1CBr,354.9009814814815
c1ccccc1CBr,354.9009814814815
C(c1ccccc1)Br,354.9009814814815
BrCc1ccccc1,354.9009814814815
C(Br)c1ccccc1,354.9009814814815
c1ccc(CBr)cc1,354.9009814814815
BrCc1ccccc1,354.9009814814815
c1(CBr)ccccc1,354.9009814814815
c1c(cccc1)CBr,354.9009814814815
BrCc1ccccc1CBr,406.75
c1cccc(CBr)c1CBr,406.75
c1(c(cccc1)CBr)CBr,406.75
BrCc1c(CBr)cccc1,406.75
c1ccc(c(c1)CBr)CBr,406.75
BrCc1c(cccc1)CBr,406.75
BrCc1c(cccc1)CBr,406.75
c1(CBr)c(cccc1)CBr,406.75
C(Br)c1ccccc1CBr,406.75
C(c1c(cccc1)CBr)Br,406.75
Brc1c[nH]cn1,423.35
c1nc(Br)c[nH]1,423.35
n1c[nH]cc1Br,423.35
c1[nH]cnc1Br,423.35
[nH]1cc(Br)nc1,423.35
c1nc(c[nH]1)Br,423.35
c1(Br)nc[nH]c1,423.35
c1(c[nH]cn1)Br,423.35
c1[nH]cnc1Br,423.35
c1c(nc[nH]1)Br,423.35
Brc1cc(Br)c(Br)cc1Br,421.65
c1c(c(Br)cc(Br)c1Br)Br,421.65
c1(c(Br)cc(Br)c(Br)c1)Br,421.65
c1c(c(cc(c1Br)Br)Br)Br,421.65
c1(cc(c(Br)cc1Br)Br)Br,421.65
c1c(Br)c(Br)cc(c1Br)Br,421.65
Brc1cc(c(cc1Br)Br)Br,421.65
Brc1c(Br)cc(c(Br)c1)Br,421.65
c1c(c(Br)cc(c1Br)Br)Br,421.65
c1(c(cc(Br)c(c1)Br)Br)Br,421.65
Brc1cc(Br)c(Br)s1,387.65
Brc1cc(Br)c(Br)s1,387.65
s1c(Br)c(cc1Br)Br,387.65
Brc1c(sc(c1)Br)Br,387.65
Brc1sc(c(c1)Br)Br,387.65
Brc1c(cc(s1)Br)Br,387.65
c1(cc(sc1Br)Br)Br,387.65
Brc1c(Br)sc(Br)c1,387.65
Brc1c(Br)sc(Br)c1,387.65
Brc1cc(c(Br)s1)Br,387.65
Brc1cc(Br)cc(Br)c1,388.65
c1c(Br)cc(Br)cc1Br,388.65
Brc1cc(Br)cc(Br)c1,388.65
c1(Br)cc(cc(Br)c1)Br,388.65
c1c(cc(Br)cc1Br)Br,388.65
Brc1cc(Br)cc(Br)c1,388.65
c1c(Br)cc(Br)cc1Br,388.65
c1(cc(cc(Br)c1)Br)Br,388.65
Brc1cc(cc(c1)Br)Br,388.65
c1(Br)cc(cc(Br)c1)Br,388.65
Brc1ccc(-c2ccccc2)cc1,416.8958333333333
c1c(ccc(c1)-c1ccccc1)Br,416.8958333333333
c1cc(ccc1-c1ccccc1)Br,416.8958333333333
c1ccccc1-c1ccc(Br)cc1,416.8958333333333
c1c(ccc(-c2ccccc2)c1)Br,416.8958333333333
c1(ccccc1)-c1ccc(Br)cc1,416.8958333333333
c1c(Br)ccc(c1)-c1ccccc1,416.8958333333333
c1cccc(-c2ccc(Br)cc2)c1,416.8958333333333
c1c(Br)ccc(-c2ccccc2)c1,416.8958333333333
c1cc(-c2ccccc2)ccc1Br,416.8958333333333
Brc1ccc(Br)c(Br)c1,393.15
c1c(Br)c(Br)ccc1Br,393.15
c1cc(c(cc1Br)Br)Br,393.15
c1c(c(Br)cc(c1)Br)Br,393.15
c1(c(cc(cc1)Br)Br)Br,393.15
c1(ccc(Br)cc1Br)Br,393.15
c1(Br)c(cc(Br)cc1)Br,393.15
Brc1c(Br)cc(Br)cc1,393.15
c1cc(c(Br)cc1Br)Br,393.15
c1(c(cc(Br)cc1)Br)Br,393.15
Brc1ccc(Br)c2ccccc12,454.55
Brc1ccc(Br)c2ccccc21,454.55
c1ccc2c(c1)c(Br)ccc2Br,454.55
Brc1ccc(Br)c2ccccc12,454.55
c1c2c(Br)ccc(Br)c2ccc1,454.55
Brc1c2c(c(Br)cc1)cccc2,454.55
c1cc2c(ccc(c2cc1)Br)Br,454.55
c1(ccc(c2c1cccc2)Br)Br,454.55
c12ccccc2c(Br)ccc1Br,454.55
c1cccc2c1c(ccc2Br)Br,454.55
Brc1ccc(Br)s1,372.55
Brc1sc(cc1)Br,372.55
Brc1ccc(Br)s1,372.55
Brc1sc(Br)cc1,372.55
s1c(Br)ccc1Br,372.55
s1c(ccc1Br)Br,372.55
c1cc(Br)sc1Br,372.55
c1(sc(Br)cc1)Br,372.55
s1c(ccc1Br)Br,372.55
c1(sc(cc1)Br)Br,372.55
Brc1ccc(I)cc1,375.05
c1(ccc(Br)cc1)I,375.05
c1(Br)ccc(cc1)I,375.05
Brc1ccc(cc1)I,375.05
c1c(I)ccc(c1)Br,375.05
c1cc(ccc1Br)I,375.05
c1cc(ccc1I)Br,375.05
c1cc(ccc1Br)I,375.05
Ic1ccc(Br)cc1,375.05
c1(ccc(Br)cc1)I,375.05
Brc1ccc(Oc2ccc(Br)cc2)cc1,413.45
c1c(Oc2ccc(cc2)Br)ccc(c1)Br,413.45
c1(Oc2ccc(Br)cc2)ccc(Br)cc1,413.45
c1c(Oc2ccc(Br)cc2)ccc(Br)c1,413.45
c1c(ccc(Oc2ccc(Br)cc2)c1)Br,413.45
c1(ccc(cc1)Oc1ccc(cc1)Br)Br,413.45
c1(Br)ccc(cc1)Oc1ccc(cc1)Br,413.45
c1c(Oc2ccc(Br)cc2)ccc(c1)Br,413.45
Brc1ccc(Oc2ccc(cc2)Br)cc1,413.45
c1c(Br)ccc(Oc2ccc(cc2)Br)c1,413.45
Brc1ccc(Oc2ccccc2)cc1,389.4907407407408
Brc1ccc(cc1)Oc1ccccc1,389.4907407407408
c1ccc(cc1)Oc1ccc(Br)cc1,389.4907407407408
c1cc(Oc2ccccc2)ccc1Br,389.4907407407408
O(c1ccc(Br)cc1)c1ccccc1,389.4907407407408
c1c(ccc(Br)c1)Oc1ccccc1,389.4907407407408
c1(ccc(Br)cc1)Oc1ccccc1,389.4907407407408
c1c(ccc(Oc2ccccc2)c1)Br,389.4907407407408
c1(ccccc1)Oc1ccc(cc1)Br,389.4907407407408
c1ccccc1Oc1ccc(cc1)Br,389.4907407407408
Brc1ccc(Sc2ccc(Br)cc2)cc1,475.65
c1(Br)ccc(Sc2ccc(cc2)Br)cc1,475.65
c1(Sc2ccc(cc2)Br)ccc(cc1)Br,475.65
c1(ccc(cc1)Br)Sc1ccc(Br)cc1,475.65
c1(Sc2ccc(Br)cc2)ccc(cc1)Br,475.65
c1(Br)ccc(cc1)Sc1ccc(Br)cc1,475.65
c1(Sc2ccc(cc2)Br)ccc(Br)cc1,475.65
c1(ccc(Br)cc1)Sc1ccc(Br)cc1,475.65
c1c(Sc2ccc(cc2)Br)ccc(Br)c1,475.65
c1(ccc(cc1)Br)Sc1ccc(Br)cc1,475.65
Brc1ccc2c3c(cccc13)CC2,435.45
c12c3c(ccc1Br)CCc3ccc2,435.45
C1c2ccc(c3cccc(C1)c23)Br,435.45
c1cc2c3c(ccc(c3c1)Br)CC2,435.45
c12CCc3c2c(ccc1)c(Br)cc3,435.45
c1c(Br)c2cccc3CCc(c32)c1,435.45
Brc1c2cccc3CCc(cc1)c23,435.45
Brc1c2cccc3CCc(cc1)c23,435.45
C1c2c3c(C1)cccc3c(Br)cc2,435.45
